PVmodel,Variable,mean,std
aSiTandem72-46,S,410.0397033691406,345.1012268066406
aSiTandem72-46,T,30.49441909790039,13.382303237915039
aSiTandem72-46,b,0.4030599594116211,0.017792969942092896
aSiTandem72-46,IL,0.46372589468955994,0.4141879081726074
aSiTandem72-46,I0,-23.19877815246582,1.9472955465316772
aSiTandem72-46,Rs,33.78004455566406,29.376829147338867
aSiTandem72-46,Gp,0.0020153482910245657,0.0016708311159163713
aSiTandem90-31,S,501.7530822753906,348.9190368652344
aSiTandem90-31,T,32.37175369262695,15.212289810180664
aSiTandem90-31,b,0.3944137692451477,0.01977369748055935
aSiTandem90-31,IL,0.613452136516571,0.45317918062210083
aSiTandem90-31,I0,-22.967985153198242,2.2953121662139893
aSiTandem90-31,Rs,28.751707077026367,24.962705612182617
aSiTandem90-31,Gp,0.0024663053918629885,0.0017898408696055412
aSiTriple28324,S,412.7479248046875,345.5846862792969
aSiTriple28324,T,30.16583824157715,13.763748168945312
aSiTriple28324,b,0.9337847828865051,0.04236798360943794
aSiTriple28324,IL,1.9005212783813477,1.7048907279968262
aSiTriple28324,I0,-19.10875129699707,1.941664695739746
aSiTriple28324,Rs,2.4848735332489014,1.8301143646240234
aSiTriple28324,Gp,0.014029442332684994,0.012879826128482819
aSiTriple28325,S,498.1481628417969,347.9573669433594
aSiTriple28325,T,30.9290771484375,15.051163673400879
aSiTriple28325,b,0.9493837952613831,0.04694730043411255
aSiTriple28325,IL,2.31125807762146,1.7371312379837036
aSiTriple28325,I0,-19.7510929107666,2.2447004318237305
aSiTriple28325,Rs,1.985296368598938,1.382825493812561
aSiTriple28325,Gp,0.017979083582758904,0.014429708942770958
CdTe75638,S,412.2571105957031,345.3265380859375
CdTe75638,T,30.200254440307617,12.976005554199219
CdTe75638,b,0.3275538682937622,0.01403963565826416
CdTe75638,IL,0.4834796190261841,0.4182398319244385
CdTe75638,I0,-28.273767471313477,2.116480588912964
CdTe75638,Rs,48.93618392944336,40.99980163574219
CdTe75638,Gp,0.0008284721989184618,0.0005316103342920542
CdTe75669,S,497.9178161621094,347.7244567871094
CdTe75669,T,33.22882080078125,14.810086250305176
CdTe75669,b,0.32947707176208496,0.016028981655836105
CdTe75669,IL,0.5917028784751892,0.4277041256427765
CdTe75669,I0,-28.23743438720703,2.335081100463867
CdTe75669,Rs,34.94746017456055,24.520395278930664
CdTe75669,Gp,0.0009263038518838584,0.0005055365618318319
CIGS1-001,S,501.6270751953125,348.23626708984375
CIGS1-001,T,31.570636749267578,14.74701976776123
CIGS1-001,b,0.5812618732452393,0.028271088376641273
CIGS1-001,IL,1.278007984161377,0.8835629820823669
CIGS1-001,I0,-23.37633514404297,2.1696715354919434
CIGS1-001,Rs,5.088413715362549,4.029902935028076
CIGS1-001,Gp,0.0028126034885644913,0.0011114003136754036
CIGS8-001,S,411.4998779296875,345.0010681152344
CIGS8-001,T,29.759103775024414,13.205137252807617
CIGS8-001,b,0.6163290143013,0.02691137045621872
CIGS8-001,IL,1.0605360269546509,0.8725737929344177
CIGS8-001,I0,-23.872556686401367,1.6341872215270996
CIGS8-001,Rs,19.7757511138916,26.37590217590332
CIGS8-001,Gp,0.005528469569981098,0.002306810114532709
CIGS39013,S,521.0170288085938,347.6564025878906
CIGS39013,T,35.62312316894531,16.01820945739746
CIGS39013,b,0.6057898998260498,0.0316786952316761
CIGS39013,IL,3.3735716342926025,2.113070249557495
CIGS39013,I0,-20.783344268798828,1.794482707977295
CIGS39013,Rs,6.715880393981934,6.565861225128174
CIGS39013,Gp,0.031180813908576965,0.008970406837761402
CIGS39017,S,410.8869323730469,344.80718994140625
CIGS39017,T,29.758573532104492,13.416139602661133
CIGS39017,b,0.6077224016189575,0.026949845254421234
CIGS39017,IL,2.831238269805908,2.3055579662323
CIGS39017,I0,-21.52570915222168,1.4603432416915894
CIGS39017,Rs,9.062474250793457,9.917439460754395
CIGS39017,Gp,0.024068113416433334,0.011529515497386456
HIT05662,S,499.6016845703125,347.8116149902344
HIT05662,T,32.49005126953125,15.470623016357422
HIT05662,b,0.5417227745056152,0.02754770591855049
HIT05662,IL,2.7684359550476074,1.9256415367126465
HIT05662,I0,-25.2083683013916,2.3946404457092285
HIT05662,Rs,1.4959489107131958,0.9950724244117737
HIT05662,Gp,0.0012156268348917365,0.000755579792894423
HIT05667,S,410.1567687988281,345.56640625
HIT05667,T,28.990102767944336,12.509256362915039
HIT05667,b,0.5463579893112183,0.022687213495373726
HIT05667,IL,2.254866600036621,1.8985462188720703
HIT05667,I0,-25.22294044494629,1.9297537803649902
HIT05667,Rs,1.2798190116882324,0.7324749231338501
HIT05667,Gp,0.0011852591997012496,0.001036404399201274
mSi0166,S,410.320556640625,345.1695556640625
mSi0166,T,28.300832748413086,12.463086128234863
mSi0166,b,1.1294255256652832,0.04684188589453697
mSi0166,IL,1.1297277212142944,0.9523101449012756
mSi0166,I0,-23.395856857299805,1.873192310333252
mSi0166,Rs,2.2422938346862793,2.34405517578125
mSi0166,Gp,0.0028594722971320152,0.0011751445708796382
mSi0188,S,409.8862609863281,345.38751220703125
mSi0188,T,27.87372398376465,12.217019081115723
mSi0188,b,1.1317099332809448,0.04603986814618111
mSi0188,IL,1.1282432079315186,0.9513307809829712
mSi0188,I0,-23.498310089111328,1.8520839214324951
mSi0188,Rs,2.0456223487854004,1.918654203414917
mSi0188,Gp,0.0028808300849050283,0.001112847006879747
mSi0247,S,499.43316650390625,348.75146484375
mSi0247,T,32.506351470947266,14.998406410217285
mSi0247,b,1.1182583570480347,0.05511803179979324
