PVmodel,Variable,mean,std
mSi460A8,I0,-22.542163848876953,1.799330472946167
mSi460A8,Rs,1.4435874223709106,1.2417562007904053
mSi460A8,Gp,0.004072224721312523,0.0023560815025120974
mSi460BB,S,498.4977111816406,347.55596923828125
mSi460BB,T,30.435123443603516,14.469216346740723
mSi460BB,b,1.1421308517456055,0.05460285767912865
mSi460BB,IL,2.5183300971984863,1.7641416788101196
mSi460BB,I0,-22.474733352661133,2.179415225982666
mSi460BB,Rs,0.9095052480697632,0.5129309892654419
mSi460BB,Gp,0.003617989830672741,0.001751867588609457
xSi11246,S,500.36962890625,348.7387390136719
xSi11246,T,31.253114700317383,14.873124122619629
xSi11246,b,1.1040472984313965,0.05411629378795624
xSi11246,IL,2.5834450721740723,1.8084161281585693
xSi11246,I0,-22.080318450927734,2.29168438911438
xSi11246,Rs,0.83074951171875,0.38147565722465515
xSi11246,Gp,0.0072746132500469685,0.005796910263597965
xSi12922,S,409.9018859863281,345.3076171875
xSi12922,T,29.06097984313965,12.804289817810059
xSi12922,b,1.110581636428833,0.047186776995658875
xSi12922,IL,2.1248648166656494,1.793825387954712
xSi12922,I0,-22.358793258666992,1.9627968072891235
xSi12922,Rs,0.6372261643409729,0.2305336445569992
xSi12922,Gp,0.003970641177147627,0.002632787683978677
