Module, Model, n, b, IL, I0, Gp, Rs, Adjust, deltaRs, lambda, mIL, mI0, mGp, mRs, alphaIsc, betaVoc, gammaPmp, RMSE 
aSiTandem72-46,5,2.267367608175097,0.408670019077468,1.174784080793580,0.000000000026709,0.004856869331140,10.264168022709899,0.00,0.000000000000000,0.000783300000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000746104933391,-0.207480078771027,-0.139215370366506,0.276386571915788
aSiTandem72-46,6,1.978450056392605,0.468349029430679,1.180822098927297,0.000000000000774,0.005019271709894,11.007100995551664,-24.93,0.000000000000000,0.000978546230099,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000927314276478,-0.155763246141305,-0.094296697360202,0.178824132068886
aSiTandem72-46,7,2.261722896256301,0.409689960349389,1.174896932972276,0.000000000025140,0.004859991384588,10.278325608476409,0.00,-0.007288731925550,0.000415010446325,1.085306628974178,0.283545888716762,0.978896590198267,-0.647821760138292,0.000783300002638,-0.207480078913136,-0.094296697432664,0.000000219598933
aSiTandem90-31,5,2.305088807759495,0.401982414113230,1.256526433563799,0.000000000029123,0.005038572665886,9.869795680111562,0.00,0.000000000000000,0.000957600000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000912234354722,-0.210805079916554,-0.149097940814018,0.377732574677838
aSiTandem90-31,6,1.959732491602907,0.472822269191781,1.264130914678606,0.000000000000407,0.005242914177286,10.696844054063066,-29.35,0.000000000000000,0.001238656120741,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.001172878003608,-0.148933422607911,-0.090223795057003,0.213449935126861
aSiTandem90-31,7,2.298364645416517,0.403158465536102,1.256666912080499,0.000000000027129,0.005042476739758,9.885428186574753,0.00,-0.008571143457243,0.000493920254727,1.080277871440681,0.266404645130570,1.060361708014772,-0.787038996801476,0.000957599999296,-0.210805080271825,-0.090223795131545,0.000000219848383
aSiTriple28324,5,0.979750312601729,0.945756435869816,4.786957904882172,0.000000001508509,0.036442791748458,1.003951286309585,0.00,0.000000000000000,0.004618000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.004454987507785,-0.098599037805513,-0.307499495711721,0.415880964113961
aSiTriple28324,6,0.803130071945422,1.153742333970927,4.818933777082929,0.000000000012675,0.039578121089321,1.099369887088701,-32.23,0.000000000000000,0.006106298324630,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.005851685003222,-0.066822329500837,-0.178834763899705,0.241683776961103
aSiTriple28324,7,0.977420981589754,0.948010305837150,4.787349997248105,0.000000001432332,0.036483384560139,1.005161506793801,0.00,-0.010258603553276,0.003050069479211,1.096429424754372,0.363053776043992,1.143904527228809,-0.517776825112052,0.004618000009060,-0.098599037983149,-0.178834765494411,0.000000222467008
aSiTriple28325,5,0.961243111498923,0.963965465764056,4.782536625953503,0.000000000835061,0.039320945998726,0.889018842216579,0.00,0.000000000000000,0.004621000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.004464912946034,-0.094669036450057,-0.278980710939205,0.301544962217430
