Module,Model,n,b,IL,I0,Gp,Rs,Adjust,deltaRs,deltaI0,lambda,mIL,mI0,mGp,mRs,alphaIsc,betaVoc,gammaPmp,RMSE
CIGS1-001,11,,0.590937172,2.405421703,1.86E-11,0.004008499,1.569869158,,-0.006302311,1.027277512,,,-0.011053648,0.392502444,-0.857550659,0.001793659,,,
CIGS39013,5,1.478652195,0.626655252,6.26670041,3.77E-11,0.042170479,1.758783242,0,0,,-0.0017502,1,0,1,0,-0.001629356,-0.130304045,-0.562375937,0.084907558
CIGS39013,6,1.609480235,0.57571702,6.242263699,3.01E-10,0.041214733,1.697937721,17.79,0,,-0.001438817,1,0,1,0,-0.001344726,-0.153486796,-0.646296377,0.168646903
CIGS39013,7,1.480967505,0.625675554,6.266255681,3.92E-11,0.042153376,1.75768846,0,0.003057676,,-0.000558175,0.919563379,1.643763144,0.362049089,-0.978157887,-0.0017502,-0.130304045,-0.646296377,2.00E-07
CIGS39013,11,,0.625893845,6.053049506,5.19E-11,0.039776886,0.491657646,,0.026204929,0.699857532,,,-1.40730597,0.385752485,-1.553120732,-9.78E-05,,,
HIT05662,5,1.672846256,0.553909339,5.500670835,3.15E-12,0.002280796,0.61227515,0,0,,0.0016479,1,0,1,0,0.001645602,-0.132209828,-0.706121518,0.008112631
HIT05662,6,1.682262162,0.550809015,5.500516513,3.69E-12,0.002251101,0.607871438,1.29,0,,0.001626567,1,0,1,0,0.001624344,-0.13392139,-0.716134582,0.011133931
HIT05662,7,1.67285946,0.553904967,5.500670617,3.15E-12,0.002280754,0.612268969,0,0.000629956,,0.001655033,0.993800562,0.163927285,0.861046738,-0.684031854,0.0016479,-0.132209827,-0.716134583,7.60E-07
HIT05662,11,,0.552207429,5.292906718,3.07E-12,0.00208163,0.519038127,,0.000589532,1.042511559,,,0.180242756,0.702710198,-0.764159722,0.004069854,,,
HIT05667,5,1.676404247,0.552733725,5.465132726,4.97E-12,0.002972693,0.563087579,0,0,,0.0016368,1,0,1,0,0.001634064,-0.135296918,-0.709151207,0.02572867
HIT05667,6,1.708056985,0.542490779,5.46459262,8.32E-12,0.002873103,0.548150815,4.25,0,,0.001567218,1,0,1,0,0.001564753,-0.141048586,-0.742202999,0.035330115
HIT05667,7,1.676449152,0.55271892,5.465131947,4.98E-12,0.002972552,0.563066315,0,0.002317037,,0.001660699,0.995635091,0.160909012,1.054965897,-0.481869907,0.0016368,-0.135296918,-0.742202998,3.64E-07
HIT05667,11,,0.550244679,5.249160809,5.20E-12,0.002710032,0.500760642,,0.001962652,1.033457579,,,0.147151526,0.915975116,-0.501252487,0.003862465,,,
mSi0166,5,0.812782892,1.140040191,2.733477864,3.11E-11,0.004582653,0.438177317,0,0,,0.001364,1,0,1,0,0.001361266,-0.072831026,-0.177647198,0.034619872
mSi0166,6,0.834225213,1.110737424,2.733037484,5.95E-11,0.004413669,0.418378655,5.35,0,,0.001290993,1,0,1,0,0.001288612,-0.076729232,-0.18897228,0.044420611
mSi0166,7,0.812830533,1.139973373,2.733476862,3.12E-11,0.004582277,0.43813311,0,0.004222088,,0.001389862,0.997127104,0.237274056,0.409779929,-0.849622294,0.001363999,-0.072831026,-0.18897228,4.35E-07
mSi0166,11,,1.134145712,2.599589602,3.58E-11,0.004320393,0.299037314,,-0.007693172,1.026635533,,,0.169183189,0.322803413,-1.154779737,0.003016507,,,
mSi0188,5,0.812265639,1.140766171,2.736083726,3.07E-11,0.004497197,0.495524419,0,0,,0.001092,1,0,1,0,0.001089571,-0.072831026,-0.182653681,0.015807818
mSi0188,6,0.822179575,1.127010682,2.735865422,4.16E-11,0.004417034,0.486413767,2.47,0,,0.001064996,1,0,1,0,0.001062711,-0.074632075,-0.187778032,0.02106296
mSi0188,7,0.812288997,1.140733368,2.736083206,3.07E-11,0.004497008,0.495502904,0,0.001690685,,0.001104718,0.996590645,0.22243916,0.381402737,-0.754919919,0.001091999,-0.072831026,-0.187778032,7.53E-07
mSi0188,11,,1.135218872,2.598742385,3.47E-11,0.004252617,0.36927702,,-0.006640518,1.023672718,,,0.163543075,0.298206001,-0.976103394,0.002841791,,,
mSi0247,5,0.810180513,1.143702112,2.70071807,3.08E-11,0.004392275,0.483060128,0,0,,0.0013475,1,0,1,0,0.001344646,-0.072600026,-0.175509204,0.030428915
mSi0247,6,0.82887099,1.117912408,2.700325131,5.43E-11,0.004243113,0.465679277,4.68,0,,0.001284428,1,0,1,0,0.001281894,-0.075998183,-0.185265634,0.038993022
mSi0247,7,0.81022162,1.143644085,2.700717188,3.08E-11,0.004391946,0.483021734,0,0.003373983,,0.001369648,0.99732859,0.243716492,0.510281674,-0.987862047,0.001347499,-0.072600026,-0.185265634,5.61E-07
mSi0247,11,,1.139884374,2.582890556,3.12E-11,0.004106523,0.332112436,,0.001333212,1.045682615,,,0.157319448,0.401705308,-1.237903275,0.003026389,,,
mSi0251,5,0.810802044,1.142825392,2.693582809,3.08E-11,0.003660808,0.567344034,0,0,,0.001344,1,0,1,0,0.001341212,-0.072666026,-0.177393396,0.033266472
mSi0251,6,0.831489585,1.114391785,2.693143216,5.76E-11,0.003489313,0.548359789,5.18,0,,0.001274404,1,0,1,0,0.001271967,-0.076428857,-0.188232156,0.043027038
mSi0251,7,0.810839881,1.142772063,2.693581987,3.08E-11,0.003660494,0.567309143,0,0.003162517,,0.001364444,0.998001892,0.254585814,0.337625699,-0.825928529,0.001343998,-0.072666026,-0.188232156,9.39E-07
mSi0251,11,,1.139227798,2.579888495,3.00E-11,0.003476334,0.44193599,,0.00287276,1.042373876,,,0.096453015,0.257870804,-0.998801041,0.002937406,,,
